letterboxd_search,Movie
https://letterboxd.com/search/Venom+2024/,
https://letterboxd.com/search/Quantum+Of+Solace+2008/,"{
    ""title"": ""quantum-of-solace"",
    ""url"": ""https://letterboxd.com/film/quantum-of-solace/"",
    ""directors"": [
        ""Marc Forster""
    ],
    ""rating"": ""2.83 out of 5"",
    ""year"": ""2008"",
    ""genres"": [
        ""Thriller"",
        ""Action"",
        ""Adventure"",
        ""Crime""
    ]
}"
https://letterboxd.com/search/Ava+2020/,"{
    ""title"": ""ava-2020"",
    ""url"": ""https://letterboxd.com/film/ava-2020/"",
    ""directors"": [
        ""Tate Taylor""
    ],
    ""rating"": ""2.18 out of 5"",
    ""year"": ""2020"",
    ""genres"": [
        ""Crime"",
        ""Action"",
        ""Thriller""
    ]
}"
https://letterboxd.com/search/The+Fighting+Generation+1944/,"{
    ""title"": ""the-fighting-generation"",
    ""url"": ""https://letterboxd.com/film/the-fighting-generation/"",
    ""directors"": [
        ""Alfred Hitchcock""
    ],
    ""rating"": ""2.74 out of 5"",
    ""year"": ""1944"",
    ""genres"": [
        ""War""
    ]
}"
https://letterboxd.com/search/Tangerine+2015/,"{
    ""title"": ""tangerine"",
    ""url"": ""https://letterboxd.com/film/tangerine/"",
    ""directors"": [
        ""Sean Baker""
    ],
    ""rating"": ""3.87 out of 5"",
    ""year"": ""2015"",
    ""genres"": [
        ""Drama"",
        ""Comedy""
    ]
}"
https://letterboxd.com/search/Laggies+2014/,"{
    ""title"": ""laggies"",
    ""url"": ""https://letterboxd.com/film/laggies/"",
    ""directors"": [
        ""Lynn Shelton""
    ],
    ""rating"": ""3.07 out of 5"",
    ""year"": ""2014"",
    ""genres"": [
        ""Drama"",
        ""Comedy"",
        ""Romance""
    ]
}"
https://letterboxd.com/search/Alphaville+1965/,"{
    ""title"": ""alphaville"",
    ""url"": ""https://letterboxd.com/film/alphaville/"",
    ""directors"": [
        ""Jean-Luc Godard""
    ],
    ""rating"": ""3.69 out of 5"",
    ""year"": ""1965"",
    ""genres"": [
        ""Science Fiction"",
        ""Mystery"",
        ""Drama""
    ]
}"
https://letterboxd.com/search/Disco+Godfather+1979/,"{
    ""title"": ""disco-godfather"",
    ""url"": ""https://letterboxd.com/film/disco-godfather/"",
    ""directors"": [
        ""J. Robert Wagoner""
    ],
    ""rating"": ""3.07 out of 5"",
    ""year"": ""1979"",
    ""genres"": [
        ""Comedy"",
        ""Crime"",
        ""Action""
    ]
}"
https://letterboxd.com/search/Bent+2018/,"{
    ""title"": ""hold-the-dark"",
    ""url"": ""https://letterboxd.com/film/hold-the-dark/"",
    ""directors"": [
        ""Jeremy Saulnier""
    ],
    ""rating"": ""2.91 out of 5"",
    ""year"": ""2018"",
    ""genres"": [
        ""Thriller"",
        ""Crime"",
        ""Mystery""
    ]
}"
https://letterboxd.com/search/X+Xx+State+Of+The+Union+2019/,
https://letterboxd.com/search/Battle+For+The+Planet+Of+The+Apes+1973/,"{
    ""title"": ""battle-for-the-planet-of-the-apes"",
    ""url"": ""https://letterboxd.com/film/battle-for-the-planet-of-the-apes/"",
    ""directors"": [
        ""J. Lee Thompson""
    ],
    ""rating"": ""2.58 out of 5"",
    ""year"": ""1973"",
    ""genres"": [
        ""Action"",
        ""Science Fiction""
    ]
}"
https://letterboxd.com/search/Bonnie+And+Bonnie+1967/,"{
    ""title"": ""bonnie-and-clyde"",
    ""url"": ""https://letterboxd.com/film/bonnie-and-clyde/"",
    ""directors"": [
        ""Arthur Penn""
    ],
    ""rating"": ""3.91 out of 5"",
    ""year"": ""1967"",
    ""genres"": [
        ""Crime"",
        ""Drama""
    ]
}"
https://letterboxd.com/search/Clash+Of+The+Wolves+1925/,
https://letterboxd.com/search/Under+The+Piano+1996/,"{
    ""title"": ""under-the-piano"",
    ""url"": ""https://letterboxd.com/film/under-the-piano/"",
    ""directors"": [
        ""Stefan Scaini""
    ],
    ""rating"": ""None found"",
    ""year"": ""1996"",
    ""genres"": [
        ""Drama"",
        ""TV Movie""
    ]
}"
https://letterboxd.com/search/Ambush+2023/,"{
    ""title"": ""ambush-2023"",
    ""url"": ""https://letterboxd.com/film/ambush-2023/"",
    ""directors"": [
        ""Mark Burman""
    ],
    ""rating"": ""2.65 out of 5"",
    ""year"": ""2023"",
    ""genres"": [
        ""War"",
        ""Thriller"",
        ""Action""
    ]
}"
https://letterboxd.com/search/The+New+Tets+2020/,
https://letterboxd.com/search/Frequently+Asked+Questions+About+Time+Travel+2009/,"{
    ""title"": ""frequently-asked-questions-about-time-travel"",
    ""url"": ""https://letterboxd.com/film/frequently-asked-questions-about-time-travel/"",
    ""directors"": [
        ""Gareth Carrivick""
    ],
    ""rating"": ""3.27 out of 5"",
    ""year"": ""2009"",
    ""genres"": [
        ""Science Fiction"",
        ""Romance"",
        ""Drama"",
        ""Comedy""
    ]
}"
https://letterboxd.com/search/Freeze+Frame+2004/,"{
    ""title"": ""freeze-frame"",
    ""url"": ""https://letterboxd.com/film/freeze-frame/"",
    ""directors"": [
        ""John Simpson""
    ],
    ""rating"": ""3.29 out of 5"",
    ""year"": ""2004"",
    ""genres"": [
        ""Drama"",
        ""Thriller"",
        ""Crime""
    ]
}"
https://letterboxd.com/search/Johnny+Cool+1963/,"{
    ""title"": ""johnny-cool"",
    ""url"": ""https://letterboxd.com/film/johnny-cool/"",
    ""directors"": [
        ""William Asher""
    ],
    ""rating"": ""3.25 out of 5"",
    ""year"": ""1963"",
    ""genres"": [
        ""Crime"",
        ""Action"",
        ""Drama"",
        ""Thriller""
    ]
}"
https://letterboxd.com/search/Raising+Helen+2004/,"{
    ""title"": ""raising-helen"",
    ""url"": ""https://letterboxd.com/film/raising-helen/"",
    ""directors"": [
        ""Garry Marshall""
    ],
    ""rating"": ""3.04 out of 5"",
    ""year"": ""2004"",
    ""genres"": [
        ""Drama"",
        ""Romance"",
        ""Comedy""
    ]
}"
https://letterboxd.com/search/Vendetta+For+A+Samurai+1952/,"{
    ""title"": ""vendetta-of-a-samurai"",
    ""url"": ""https://letterboxd.com/film/vendetta-of-a-samurai/"",
    ""directors"": [
        ""Kazuo Mori""
    ],
    ""rating"": ""3.33 out of 5"",
    ""year"": ""1952"",
    ""genres"": [
        ""History"",
        ""Action"",
        ""Drama""
    ]
}"
https://letterboxd.com/search/With+A+Kiss+I+Die+2018/,"{
    ""title"": ""with-a-kiss-i-die"",
    ""url"": ""https://letterboxd.com/film/with-a-kiss-i-die/"",
    ""directors"": [
        ""Ronnie Khalil""
    ],
    ""rating"": ""2.88 out of 5"",
    ""year"": ""2018"",
    ""genres"": [
        ""Romance"",
        ""Drama"",
        ""Fantasy""
    ]
}"
https://letterboxd.com/search/Brave+Storm+2017/,"{
    ""title"": ""bravestorm"",
    ""url"": ""https://letterboxd.com/film/bravestorm/"",
    ""directors"": [
        ""Junya Okabe""
    ],
    ""rating"": ""None found"",
    ""year"": ""2017"",
    ""genres"": [
        ""Science Fiction"",
        ""Action"",
        ""Adventure""
    ]
}"
https://letterboxd.com/search/Purple+Rain+1984/,"{
    ""title"": ""purple-rain"",
    ""url"": ""https://letterboxd.com/film/purple-rain/"",
    ""directors"": [
        ""Albert Magnoli""
    ],
    ""rating"": ""3.40 out of 5"",
    ""year"": ""1984"",
    ""genres"": [
        ""Drama"",
        ""Romance"",
        ""Music""
    ]
}"
https://letterboxd.com/search/The+Phantom+Of+Crestwood+1932/,"{
    ""title"": ""the-phantom-of-crestwood"",
    ""url"": ""https://letterboxd.com/film/the-phantom-of-crestwood/"",
    ""directors"": [
        ""J. Walter Ruben""
    ],
    ""rating"": ""3.24 out of 5"",
    ""year"": ""1932"",
    ""genres"": [
        ""Crime"",
        ""Mystery""
    ]
}"
https://letterboxd.com/search/Mad+Love+1995/,"{
    ""title"": ""mad-love-1995"",
    ""url"": ""https://letterboxd.com/film/mad-love-1995/"",
    ""directors"": [
        ""Antonia Bird""
    ],
    ""rating"": ""2.70 out of 5"",
    ""year"": ""1995"",
    ""genres"": [
        ""Romance"",
        ""Drama""
    ]
}"
https://letterboxd.com/search/The+Haunted+Mansion+2003/,"{
    ""title"": ""the-haunted-mansion"",
    ""url"": ""https://letterboxd.com/film/the-haunted-mansion/"",
    ""directors"": [
        ""Rob Minkoff""
    ],
    ""rating"": ""2.74 out of 5"",
    ""year"": ""2003"",
    ""genres"": [
        ""Comedy"",
        ""Mystery"",
        ""Fantasy"",
        ""Family"",
        ""Thriller""
    ]
}"
https://letterboxd.com/search/Gattaca+1997/,
https://letterboxd.com/search/La+Famille+Belier+2014/,"{
    ""title"": ""the-belier-family"",
    ""url"": ""https://letterboxd.com/film/the-belier-family/"",
    ""directors"": [
        ""Eric Lartigau""
    ],
    ""rating"": ""3.35 out of 5"",
    ""year"": ""2014"",
    ""genres"": [
        ""Drama"",
        ""Comedy"",
        ""Music""
    ]
}"
https://letterboxd.com/search/Thelma+And+Louise+1991/,"{
    ""title"": ""thelma-louise"",
    ""url"": ""https://letterboxd.com/film/thelma-louise/"",
    ""directors"": [
        ""Ridley Scott""
    ],
    ""rating"": ""4.15 out of 5"",
    ""year"": ""1991"",
    ""genres"": [
        ""Drama"",
        ""Thriller"",
        ""Adventure"",
        ""Crime""
    ]
}"
https://letterboxd.com/search/Hard+Eight+1996/,"{
    ""title"": ""hard-eight"",
    ""url"": ""https://letterboxd.com/film/hard-eight/"",
    ""directors"": [
        ""Paul Thomas Anderson""
    ],
    ""rating"": ""3.63 out of 5"",
    ""year"": ""1996"",
    ""genres"": [
        ""Crime"",
        ""Drama""
    ]
}"
